iban,date,amount,currency,category,description
DE75512108001245126199,2024-01-11,-95.86,EUR,restaurants,"Wagamama"
GB29NWBK60161331926819,2023-06-14,-283.9,GBP,healthcare,"Arztpraxis"
DE75512108001245126199,2024-04-23,-852.32,EUR,rent,"Rent"
GB82WEST12345698765432,2024-11-18,-1003.56,GBP,travel,"Hotel Reservation"
GB29NWBK60161331926819,2023-12-02,-310.82,GBP,shopping,"Zalando"
FR7630006000011234567890189,2023-02-17,-1170.79,EUR,rent,"Nebenkosten"
DE75512108001245126199,2024-07-23,-131.64,EUR,utilities,"BT Broadband"
GB29NWBK60161331926819,2024-09-21,-51.18,GBP,transport,"National Rail"
DE89370400440532013000,2023-06-13,-228.99,EUR,shopping,"H&M"
DE89370400440532013000,2023-01-28,-518.65,EUR,rent,"Miete"
NL91ABNA0417164300,2023-07-21,-194.19,EUR,healthcare,"Apotheke"
DE75512108001245126199,2024-09-29,-447.6,EUR,shopping,"IKEA"
FR7614508590000000034317,2023-06-29,-858.08,EUR,travel,"Booking.com"
GB82WEST12345698765432,2023-09-01,-350.47,GBP,travel,"Hotel Reservation"
FR7614508590000000034317,2024-10-07,-87.43,EUR,utilities,"Internet DSL"
GB29NWBK60161331926819,2023-10-21,-283.56,GBP,healthcare,"Apotheke"
GB82WEST12345698765432,2023-01-06,-907.05,GBP,travel,"Hotel Reservation"
DE36200400300014000000,2024-07-07,-26.83,EUR,entertainment,"Netflix"
ES9121000418450200051332,2024-06-29,-135.93,EUR,groceries,"Aldi"
FR7630006000011234567890189,2023-04-14,-89.79,EUR,shopping,"Amazon"
GB29NWBK60161331926819,2023-07-06,2367.32,GBP,salary,"Consulting Fee"
DE36200400300014000000,2023-08-18,-1130.51,EUR,travel,"British Airways"
ES9121000418450200051332,2023-06-15,-2353.55,EUR,rent,"Miete"
ES9121000418450200051332,2024-12-12,-79.77,EUR,entertainment,"Odeon Cinema"
NL91ABNA0417164300,2023-09-17,-95.6,EUR,utilities,"British Gas"
DE75512108001245126199,2024-08-26,-649.86,EUR,travel,"British Airways"
FR7630006000011234567890189,2024-04-06,4332.3,EUR,salary,"Gehalt"
GB82WEST12345698765432,2023-12-18,-90.18,GBP,restaurants,"Nandos"
DE75512108001245126199,2023-05-31,-116.6,EUR,utilities,"EDF Energy"
IT60X0542811101000000123456,2023-11-18,-440.21,EUR,shopping,"Zalando"
DE75512108001245126199,2024-11-14,-61.41,EUR,shopping,"H&M"
